borehole_id,easting,northing,depth_m,depth_top_m,depth_bot_m,soil_layer,soil_desc,consistency,su_kpa,su_method,spt_n,unit_weight,plasticity_idx,liquid_limit,plastic_limit,water_content,source_file,notes
OW-01,658871,1522280,1.0,0.0,2.0,MG,Fill Material / Made Ground,Medium,,,7,18.0,,,,30,OW-01.pdf,
OW-01,658871,1522280,2.75,2.3,3.2,VSC,Very soft to soft CLAY grey high plasticity (CH),Very Soft,12.4,ST,,14.7,56,80,24,77,OW-01.pdf,
OW-01,658871,1522280,4.25,3.8,4.7,VSC,Very soft to soft CLAY grey high plasticity (CH),Soft,16.6,ST,,15.1,51,75,24,100,OW-01.pdf,
OW-01,658871,1522280,5.75,5.3,6.2,VSC,Very soft to soft CLAY grey high plasticity (CH),Soft,16.1,ST,,14.8,43,68,25,96,OW-01.pdf,
OW-01,658871,1522280,6.75,6.3,7.2,SOC,Soft to medium CLAY grey high plasticity (CH),Medium,25.2,ST,,15.1,58,82,23,69,OW-01.pdf,
OW-01,658871,1522280,8.25,7.8,8.7,SOC,Soft to medium CLAY grey high plasticity (CH),Medium,36.4,ST,,15.6,38,60,22,54,OW-01.pdf,
OW-01,658871,1522280,9.75,9.3,10.2,SOC,Soft to medium CLAY grey high plasticity (CH),Medium,36.7,ST,,15.5,40,65,25,59,OW-01.pdf,
OW-01,658871,1522280,11.25,10.8,11.7,SOC,Soft to medium CLAY grey high plasticity (CH),Medium,38.8,ST,,15.0,45,65,21,84,OW-01.pdf,
OW-01,658871,1522280,12.75,12.3,13.2,SOC,Soft to medium CLAY grey high plasticity (CH),Medium,48.0,ST,,15.5,53,76,23,77,OW-01.pdf,
OW-01,658871,1522280,14.85,14.4,15.3,SC,Stiff to very stiff CLAY light grey to grey high plasticity (CH),Very Stiff,112.2,ST,,17.9,26,43,16,35,OW-01.pdf,
OW-01,658871,1522280,16.35,16.05,16.65,SC,Stiff to very stiff CLAY light grey to grey high plasticity (CH),Very Stiff,,,20,18.3,26,50,24,34,OW-01.pdf,SS sample in stiff clay
OW-01,658871,1522280,17.85,17.4,18.3,SC,Stiff to very stiff CLAY light grey to grey high plasticity (CH),Very Stiff,112.3,ST,,18.3,33,52,19,26,OW-01.pdf,
OW-01,658871,1522280,19.35,19.05,19.65,SC,Stiff to very stiff CLAY light grey to grey high plasticity (CH),Very Stiff,,,24,18.2,41,60,19,23,OW-01.pdf,SS sample in stiff clay
OW-01,658871,1522280,20.85,20.4,21.3,SC,Stiff to very stiff CLAY light grey to grey high plasticity (CH),Very Stiff,114.6,ST,,18.9,32,51,18,27,OW-01.pdf,
OW-01,658871,1522280,22.35,22.05,22.65,SC,Stiff to very stiff CLAY light grey to grey high plasticity (CH),Very Stiff,,,29,18.1,23,46,23,32,OW-01.pdf,SS sample in stiff clay
OW-01,658871,1522280,23.15,22.85,23.45,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Dense,,,41,20.3,,,,17,OW-01.pdf,
OW-01,658871,1522280,24.65,24.35,24.95,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Dense,,,38,20.0,,,,17,OW-01.pdf,
OW-01,658871,1522280,26.15,25.85,26.45,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Medium Dense,,,31,20.0,,,,19,OW-01.pdf,
OW-01,658871,1522280,27.65,27.35,27.95,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Dense,,,45,19.5,,,,17,OW-01.pdf,
OW-01,658871,1522280,29.15,28.85,29.45,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Dense,,,43,19.7,,,,20,OW-01.pdf,
OW-01,658871,1522280,30.65,30.35,30.95,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Very Dense,,,56,20.0,,,,18,OW-01.pdf,
OW-01,658871,1522280,32.15,31.85,32.45,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Very Dense,,,55,19.8,,,,17,OW-01.pdf,
OW-01,658871,1522280,33.65,33.35,33.95,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Very Dense,,,51,19.8,,,,22,OW-01.pdf,
OW-01,658871,1522280,35.15,34.85,35.45,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Very Dense,,,62,19.7,,,,16,OW-01.pdf,
OW-01,658871,1522280,36.65,36.35,36.95,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Very Dense,,,56,19.9,,,,18,OW-01.pdf,
OW-01,658871,1522280,38.15,37.85,38.45,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Very Dense,,,56,19.9,,,,16,OW-01.pdf,
OW-01,658871,1522280,39.65,39.35,39.95,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Very Dense,,,74,19.8,,,,20,OW-01.pdf,
OW-01,658871,1522280,41.15,40.85,41.45,SS,Dense to very dense silty SAND grey fine to medium grained (SM),Very Dense,,,67,19.7,,,,18,OW-01.pdf,
OW-01,658871,1522280,41.95,41.65,42.25,MSC,Hard silty CLAY light grey to grey low plasticity (CL),Hard,,,44,20.2,14,34,19,21,OW-01.pdf,
OW-01,658871,1522280,43.45,43.15,43.75,MSC,Hard silty CLAY light grey to grey low plasticity (CL),Hard,,,38,20.0,31,49,18,18,OW-01.pdf,
OW-01,658871,1522280,44.95,44.65,45.25,MSC,Hard silty CLAY light grey to grey low plasticity (CL),Hard,,,49,20.1,19,40,21,22,OW-01.pdf,
OW-01,658871,1522280,46.45,46.15,46.75,MSC,Hard silty CLAY light grey to grey low plasticity (CL),Hard,,,51,20.3,24,41,18,20,OW-01.pdf,
OW-01,658871,1522280,47.95,47.65,48.25,MSC,Hard silty CLAY light grey to grey low plasticity (CL),Hard,,,48,20.1,19,35,15,21,OW-01.pdf,
OW-01,658871,1522280,49.45,49.15,49.75,MSC,Hard silty CLAY light grey to grey low plasticity (CL),Hard,,,46,19.7,24,42,18,22,OW-01.pdf,
