borehole_id,easting,northing,depth_m,depth_top_m,depth_bot_m,soil_layer,soil_desc,consistency,su_kpa,su_method,spt_n,unit_weight,plasticity_idx,liquid_limit,plastic_limit,water_content,source_file,notes
OW-01,658871.0,1522280.0,2.73,2.28,3.18,,,Medium,36.5,ST,,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,4.25,3.8,4.7,,,Medium,40.1,ST,,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,7.26,6.81,7.71,,,Medium,38.3,ST,,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,8.77,8.32,9.22,,,Medium,43.7,ST,,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,11.73,11.28,12.18,,,Stiff,59.2,ST,,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,14.77,14.32,15.22,,,Dense,,,44,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,16.28,15.83,16.73,,,Dense,,,39,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,28.35,27.9,28.8,,,Very Dense,,,55,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,29.82,29.37,30.27,,,Very Dense,,,64,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,31.27,30.82,31.72,,,Very Dense,,,55,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,32.85,32.4,33.3,,,Very Dense,,,56,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,34.35,33.9,34.8,,,Very Dense,,,57,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,35.78,35.33,36.23,,,Very Dense,,,65,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,37.36,36.91,37.81,,,Very Dense,,,67,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,38.81,38.36,39.26,,,Very Dense,,,70,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,40.62,40.17,41.07,,,Very Dense,,,54,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,41.91,41.46,42.36,,,Very Dense,,,53,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,43.44,42.99,43.89,,,Dense,,,50,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,44.88,44.43,45.33,,,Very Dense,,,69,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,46.41,45.96,46.86,,,Very Dense,,,65,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,47.81,47.36,48.26,,,Very Dense,,,90,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,49.32,48.87,49.77,,,Very Dense,,,71,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,50.87,50.42,51.32,,,Very Dense,,,76,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,52.37,51.92,52.82,,,Very Dense,,,70,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,53.84,53.39,54.29,,,Very Dense,,,64,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,55.4,54.95,55.85,,,Very Dense,,,70,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,56.86,56.41,57.31,,,Very Dense,,,65,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,58.32,57.87,58.77,,,Very Dense,,,67,,,,,,OW-01.pdf,
OW-01,658871.0,1522280.0,59.87,59.42,60.32,,,Very Dense,,,67,,,,,,OW-01.pdf,
